NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT04490018,"Study on a Quadrivalent Meningococcal Conjugate Vaccine (MenACYW Conjugate Vaccine) Compared to a Meningococcal Reference Vaccine, and When Given Alone or With Two Other Vaccines in Healthy Adolescents",https://clinicaltrials.gov/study/NCT04490018,COMPLETED,Meningococcal Immunisation|Healthy Volunteers,"BIOLOGICAL: Meningococcal Polysaccharide (Serogroups A, C, Y, and W) Tetanus Toxoid Conjugate Vaccine (MenACYW Conjugate vaccine)|BIOLOGICAL: Meningococcal group A, C, W-135, and Y conjugate vaccine|BIOLOGICAL: Human Papillomavirus 9-valent Vaccine (9vHPV)|BIOLOGICAL: Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis Vaccine Adsorbed Combined with Inactivated Poliomyelitis Vaccine (Tdap-IPV)","Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2022-05-11
NCT04398706,Study of a Pneumococcal Conjugate Vaccine When Administered Concomitantly With Routine Pediatric Vaccines in Healthy Toddlers and Infants,https://clinicaltrials.gov/study/NCT04398706,COMPLETED,Pneumococcal Immunisation|Diphtheria Immunisation|Tetanus Immunisation|Pertussis Immunisation|Hepatitis B Immunisation|Haemophilus Influenzae Type b Immunisation|Polio Immunisation|Measles Immunisation|Rubella Immunisation|Varicella Immunisation|Mumps Immunisation,"BIOLOGICAL: Pneumococcal Conjugate Vaccine formulation 1|BIOLOGICAL: Pneumococcal Conjugate Vaccine formulation 2|BIOLOGICAL: Pneumococcal Conjugate Vaccine formulation 3|BIOLOGICAL: Varicella Virus Vaccine Live|BIOLOGICAL: Measles, Mumps, and Rubella Virus Vaccine Live|BIOLOGICAL: Pneumococcal 13-valent Conjugate Vaccine [Diphtheria CRM197 Protein]|BIOLOGICAL: Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus and Haemophilus b Conjugate (Tetanus Toxoid Conjugate)|BIOLOGICAL: Rotavirus Vaccine, Live, Oral, Pentavalent|BIOLOGICAL: Hepatitis B Vaccine* [Recombinant] *as applicable","Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2023-08-10
NCT04143061,"Immunogenicity and Safety of an Investigational Quadrivalent Meningococcal Conjugate Vaccine in Healthy Adults, Adolescents, Children, and Toddlers in India and Healthy Adolescents and Children in the Republic of South Africa",https://clinicaltrials.gov/study/NCT04143061,COMPLETED,Meningococcal Immunization|Healthy Volunteers,"BIOLOGICAL: Meningococcal polysaccharide (serogroups A,C,Y and W) tetanus toxoid conjugate vaccine|BIOLOGICAL: Meningococcal polysaccharide (serogroups A,C,Y and W-135) diphtheria toxoid conjugate vaccine|BIOLOGICAL: Meningococcal polysaccharide (serogroups A, C, Y and W-135) vaccine","Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2023-01-28
NCT04142242,Study to Assess the Safety and Immunogenicity of a Single Dose of a Quadrivalent Meningococcal (MenACYW) Conjugate Vaccine in Older Adults Who Received a Primary Vaccination (3 or More Years Earlier) in Study MET49,https://clinicaltrials.gov/study/NCT04142242,COMPLETED,Meningococcal Infection (Healthy Volunteers),"BIOLOGICAL: Meningococcal Polysaccharide (serogroups A, C, Y, and W) Tetanus Toxoid Conjugate Vaccine|OTHER: Blood sample","Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2022-05-25
NCT04137887,Study to Evaluate the Effectiveness of a High-Dose Quadrivalent Influenza Vaccine (QIV-HD) Compared to a Standard-Dose Quadrivalent Influenza Vaccine (QIV-SD) in Adults 65 Years of Age and Older,https://clinicaltrials.gov/study/NCT04137887,TERMINATED,Influenza (Healthy Volunteers),"BIOLOGICAL: Quadrivalent Influenza Vaccine (split virion, inactivated) High-Dose (QIV-HD)|BIOLOGICAL: Standard-Dose Inactivated Influenza Vaccine Quadrivalent, Northern Hemisphere strains (QIV-SD)","Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2020-05-31
NCT04127786,"Study of Purified Vero Rabies Vaccine Compared With Two Reference Rabies Vaccines, Given in a Pre-exposure Regimen to Children and Adults and as Single Booster Dose to a Subset of Adults",https://clinicaltrials.gov/study/NCT04127786,COMPLETED,Rabies|Healthy Volunteers,BIOLOGICAL: Purified vero rabies vaccine - serum free - VRVg-2|BIOLOGICAL: Purified inactivated rabies vaccine - Verorab®|BIOLOGICAL: Purified inactivated rabies vaccine - Imovax® Rabies,"Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2025-04-24
NCT04109222,"Collection of Serum Samples From Children and Older Adults Receiving the 2019-2020 Formulations of Fluzone® Quadrivalent and Fluzone® High-Dose Influenza Vaccines, Respectively",https://clinicaltrials.gov/study/NCT04109222,COMPLETED,Influenza,"BIOLOGICAL: Fluzone Quadrivalent vaccine, no preservative (0.5-mL), 2019-2020 formulation|BIOLOGICAL: Fluzone High-Dose vaccine, 2019-2020 formulation","Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2019-12-10
NCT04084769,"Study to Evaluate the Immune Response After a Booster Dose of a Quadrivalent Meningococcal (MenACYW) Conjugate Vaccine When Administered Alone or Concomitantly With a Licensed Meningococcal Serogroup B Vaccine, in Participants Who Received Primary Quadrivalent Meningococcal Conjugate Vaccine (MCV4)",https://clinicaltrials.gov/study/NCT04084769,COMPLETED,Meningococcal Immunisation (Healthy Volunteers),"BIOLOGICAL: Meningococcal polysaccharide (serogroups A, C, Y, and W) tetanus toxoid Conjugate vaccine MenACYW Conjugate vaccine|BIOLOGICAL: Meningococcal Group B vaccine (Trumenba®)|BIOLOGICAL: Meningococcal group B vaccine (Bexsero®)","Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2020-09-14
NCT04024228,Study to Assess the Immune Response and the Safety Profile of a High-Dose Quadrivalent Influenza Vaccine (QIV-HD) Compared to a Standard-Dose Quadrivalent Influenza Vaccine (QIV-SD) in Europeans Adults 60 Years of Age and Older,https://clinicaltrials.gov/study/NCT04024228,COMPLETED,Influenza Immunization|Healthy Volunteers,"BIOLOGICAL: Standard-Dose influenza virus surface antigens (haemagglutinin and neuraminidase), Inactivated, Influenza Vaccine Quadrivalent, 2019-2020 Northern Hemisphere Strains (QIV-SD)|BIOLOGICAL: High-Dose Influenza Vaccine (split virion, inactivated), Quadrivalent (QIV-HD) 2019-2020 Northern Hemisphere formulation","Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2020-06-05
NCT03965962,Study of Purified Vero Rabies Vaccine Compared With Two Reference Rabies Vaccines in a Simulated Post-Exposure Regimen in Adults,https://clinicaltrials.gov/study/NCT03965962,COMPLETED,Rabies (Healthy Volunteers),BIOLOGICAL: VRVg-2|BIOLOGICAL: Purified Inactivated Rabies Vaccine|BIOLOGICAL: Human Diploid Cell Vaccine (HDCV)|BIOLOGICAL: Rabies immune globulin (human),"Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2021-07-01
NCT03890367,Study on a Quadrivalent Meningococcal Conjugate Vaccine (MenACYW Conjugate Vaccine) Compared to Two Meningococcal Reference Vaccines in European Toddlers,https://clinicaltrials.gov/study/NCT03890367,COMPLETED,Meningococcal Immunisation (Healthy Volunteers),"BIOLOGICAL: Meningococcal polysaccharide (serogroups A, C, Y, and W) tetanus toxoid Conjugate vaccine|BIOLOGICAL: Meningococcal polysaccharide group A, C, W-135 and Y Conjugate vaccine|BIOLOGICAL: Meningococcal group C polysaccharide Conjugate vaccine adsorbed","Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2020-10-14
NCT03869866,Study to Assess the Safety and Immunogenicity of a Single Dose of a Quadrivalent Meningococcal Conjugate Vaccine (MenACYW Conjugate Vaccine) in Older Adults in Turkey and Lebanon,https://clinicaltrials.gov/study/NCT03869866,COMPLETED,Healthy Volunteers (Meningococcal Infection),"BIOLOGICAL: Meningococcal polysaccharide (serogroups A,C,Y and W) tetanus toxoid conjugate vaccine MenACYW conjugate vaccine","Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2022-03-18
NCT02741128,Safety and Immunogenicity of a Tetravalent Dengue Vaccine in HIV-Positive Adults,https://clinicaltrials.gov/study/NCT02741128,COMPLETED,Dengue Fever|Dengue Hemorrhagic Fever|Human Immunodeficiency Virus,BIOLOGICAL: CYD Dengue Vaccine|BIOLOGICAL: Placebo (NaCl 0.9%) vaccine group,"Sanofi Pasteur, a Sanofi Company",,INTERVENTIONAL,2023-01-19
NCT04759131,"Safety, Efficacy and PK of BIVV001 in Pediatric Patients With Hemophilia A",https://clinicaltrials.gov/study/NCT04759131,COMPLETED,Hemophilia A,DRUG: efanesoctocog alfa (BIVV001),"Bioverativ, a Sanofi company",,INTERVENTIONAL,2023-01-18
NCT04680975,Efficacy and Safety of Belumosudil in Subjects With Diffuse Cutaneous Systemic Sclerosis,https://clinicaltrials.gov/study/NCT04680975,TERMINATED,Diffuse Cutaneous Systemic Sclerosis,DRUG: Belumosudil,"Kadmon, a Sanofi Company",,INTERVENTIONAL,2022-12-19
NCT04669600,A Phase 2a Study Evaluating BIVV020 in Adults With Persistent/Chronic Immune Thrombocytopenia (ITP),https://clinicaltrials.gov/study/NCT04669600,COMPLETED,Immune Thrombocytopenia (ITP),DRUG: SAR445088 (BIVV020),"Bioverativ, a Sanofi company",,INTERVENTIONAL,2023-02-07
NCT04161495,"A Phase 3 Open-label Interventional Study of Intravenous Recombinant Coagulation Factor VIII Fc-von Willebrand Factor-XTEN Fusion Protein, Efanesoctocog Alfa (BIVV001), in Patients With Severe Hemophilia A",https://clinicaltrials.gov/study/NCT04161495,COMPLETED,Factor VIII Deficiency,BIOLOGICAL: efanesoctocog alfa (BIVV001),"Bioverativ, a Sanofi company",,INTERVENTIONAL,2022-02-03
NCT03919799,KD025 in Subjects With Diffuse Cutaneous Systemic Sclerosis,https://clinicaltrials.gov/study/NCT03919799,TERMINATED,System; Sclerosis|Diffuse Cutaneous Systemic Sclerosis,DRUG: Belumosudil (KD025)|DRUG: Placebo,"Kadmon, a Sanofi Company",,INTERVENTIONAL,2023-02-17
NCT03784898,Collection of Blood Samples From Patients With Relapsing MS Who Developed ITP After Receiving Lemtrada,https://clinicaltrials.gov/study/NCT03784898,COMPLETED,Multiple Sclerosis,OTHER: Blood draw for future biomarker analysis,"Genzyme, a Sanofi Company",,INTERVENTIONAL,2019-12-11
NCT02855268,Study of Lademirsen (SAR339375) in Patients With Alport Syndrome,https://clinicaltrials.gov/study/NCT02855268,TERMINATED,Alport Syndrome,DRUG: lademirsen (SAR339375)|DRUG: Placebo,"Genzyme, a Sanofi Company",,INTERVENTIONAL,2022-09-22
NCT04992546,"Phase 2a Study of the Safety, Tolerability, and Pharmacokinetics of Topically Administered PRN473 (SAR444727) in Patients With Mild to Moderate Atopic Dermatitis",https://clinicaltrials.gov/study/NCT04992546,COMPLETED,Atopic Dermatitis,DRUG: PRN473 (SAR444727)|DRUG: Placebo,"Principia Biopharma, a Sanofi Company",,INTERVENTIONAL,2022-12-28
NCT03762265,A Study of PRN1008 in Patients With Pemphigus,https://clinicaltrials.gov/study/NCT03762265,TERMINATED,Pemphigus,DRUG: Rilzabrutinib|DRUG: Placebo,"Principia Biopharma, a Sanofi Company",,INTERVENTIONAL,2021-12-17
NCT05692154,A Placebo-controlled Study of 2-day Pre-treatment With Fexofenadine in Seasonal Allergic Rhinitis,https://clinicaltrials.gov/study/NCT05692154,COMPLETED,Seasonal Allergic Rhinitis,DRUG: Fexofenadine|DRUG: Placebo,"Opella Healthcare Group SAS, a Sanofi Company",,INTERVENTIONAL,2023-03-14
